x,y,z
669237.875,6220608,389.47
669238.5625,6221081.5,392.1
669238.8125,6221202.5,390.906
669239.125,6221104.5,390.625
669240.5625,6220991,395.819
669242.1875,6221313,401.572
669243.0625,6220880.5,391.724
669243.125,6220527.5,425.9
669243.25,6221183,390.901
669250.375,6220966.5,393.463
669244.5,6221294.5,391.3
669244.75,6221169,390.443
669238.125,6221036,396.027
669246.25,6221154.5,389.868
669247.75,6221140.5,389.903
669249.3125,6221126,389.914
669245.0625,6221063,396.417
669250.8125,6221112,390.577
669259.5625,6220937,394.655
669252.3125,6221097.5,390.974
669252.5625,6221014,395.937
669256.4375,6221360,425.989
669253.875,6221083.5,392.1
669248.25,6220581.5,399.174
669255.3125,6221337,421.206
669252.25,6220907,395.186
669258.875,6221384,426.506
669260.5625,6221215,390.9
669258.1875,6220555.5,418.631
669262,6221199.5,390.9
669262.875,6220609,389.628
669265.1875,6220990.5,394.756
669267.4375,6220886.5,391.704
669276.875,6220964.5,394.142
669268.0625,6220529.5,425.556
669268.625,6221301,391.3
669263.5625,6221040,395.775
669271.5625,6221321,404.949
669271.4375,6221065.5,394.191
669288.5625,6220939,394.971
669279.3125,6221016,394.422
669280.0625,6221367,426.023
669273,6220582.5,399.015
669276.9375,6220912.5,394.429
669278.0625,6221389.5,426.842
669278.375,6221088,392.1
669279.4375,6221343,420.257
669282.9375,6221226,390.9
669283.125,6221212.5,390.9
669283,6220556.5,418.711
669287.875,6220609.5,389.604
669291.5625,6220990,393.399
669292.0625,6220890.5,391.619
669292.6875,6221307.5,391.3
669293,6220530.5,425.756
669292.6875,6221072,394.222
669297.3125,6221395,427.536
669297.875,6220583.5,400.001
669301.6875,6220916,394.006
669303.0625,6221092,392.1
669303.625,6221349.5,423.463
669295,6221045.5,394.306
669306.1875,6221235,390.924
669306.625,6221221,390.947
669307.9375,6220557.5,420.112
669310.25,6220939.5,395.029
669307.5625,6221330,405.22
669304.0625,6221377,427.18
669306,6220965,394.335
669307.9375,6221014.5,393.634
669314,6220990.5,393.474
669312.8125,6220610.5,389.728
669316.5,6221400.5,427.903
669316.8125,6221314,391.3
669316.875,6220891,391.528
669318,6220532,425.506
669315.375,6221069.5,394.678
669321.9375,6221354.5,424.754
669322.8125,6220584.5,399.876
669325.625,6220924.5,393.7
669327.875,6221095,392.1
669329.3125,6220951.5,394.863
669331.0625,6221381.5,428.099
669330.9375,6221238.5,390.93
669330.9375,6221227,390.977
669332.8125,6220558.5,415.608
669331.6875,6221336.5,406.581
669331.375,6220978,394.57
669333.125,6221005,393.475
669337.8125,6220611.5,389.716
669340.5625,6221407.5,429.069
669341,6221320.5,391.3
669341.75,6220889,390.9
669339.0625,6221072.5,394.677
669342.9375,6220533.5,425.331
669345.5,6220911,391.528
669334.75,6221041,393.733
669346.125,6221361,423.577
669347.625,6220585,398.475
669349.4375,6221341.5,406.087
669350.1875,6220938,393.927
669357.125,6221388,429.009
669352.3125,6220965,394.718
669352.625,6221091,392.1
669353.6875,6220991,394.34
669357.125,6221016,394.147
669355.25,6221244,390.892
669355.4375,6221232,390.936
669357.4375,6220559.5,416.252
669362.75,6220611,389.867
669364.625,6221414,430.276
669364.75,6220899.5,390.863
669365.125,6221327,391.3
669366.75,6220889,390.385
669364.625,6221065.5,393.375
669367.9375,6220534.5,424.955
669374,6220924.5,391.635
669365.5625,6221038.5,393.726
669372.25,6220586,398.844
669373.1875,6221001,394.251
669374.375,6220952.5,394.333
669373.5,6221348.5,406.512
669374.875,6220979,394.622
669377.375,6221094,392.1
669377.75,6221369.5,423.336
