x,y,z
656018.625,6221843,398.4
656017.375,6221882,397.229
656015.375,6222286.5,397
656014.375,6221870,398.234
656019.375,6221996.5,396.347
656017.9375,6221942,399.6
656024.8125,6221796,400.468
656019,6221826.5,398.2
656017.8125,6222318,427.037
656020,6221745.5,399.994
656019.5,6222008,396.053
656019.9375,6221731,400.274
656021.9375,6221959,397.207
656021.375,6221812,399.3
656022.0625,6222343,445.351
656028.4375,6221779,400.474
656025.0625,6222302.5,406.562
656024.5,6222331.5,441.854
656028.75,6221917,399.6
656025.1875,6221903.5,399.6
656034.125,6221988.5,396.43
656027.9375,6221947,398.4
656029.25,6222265.5,395.365
656030,6221834,398.4
656032.9375,6221739.5,400.98
656029.5,6221888,397.874
656029.5,6221933,399.6
656028.875,6221875.5,397.226
656030.3125,6222285.5,397
656033.625,6221972,396.798
656038.9375,6221792,401.23
656031.8125,6221729,400.067
656036.8125,6221759.5,400.851
656028,6221859.5,398.327
656032.75,6221822,398.2
656033.875,6222341,448.958
656034.0625,6222004.5,396.06
656036.625,6222322,434.928
656041.9375,6221778,401.449
656035.8125,6221808,399.218
656036.375,6221845.5,398.4
656039.625,6221904,399.6
656043.125,6221955.5,397.069
656041.875,6222300,407.382
656041.3125,6221884,397.95
656041.625,6221941,398.4
656043.75,6221925,399.6
656045.4375,6221743.5,401.858
656042.4375,6221870,397.222
656043.625,6221727.5,401.992
656043.8125,6222261.5,394.434
656043.1875,6221832.5,398.4
656049.3125,6221977.5,396.438
656045.0625,6222283,396.679
656045.625,6222338.5,454.057
656052.375,6221788,401.11
656047,6221818.5,398.2
656043.6875,6221857,398.168
656048.8125,6222328,451.008
656048.75,6222001.5,396.008
656048.75,6221938,398.4
656053.25,6221772.5,401.868
656050.1875,6221803.5,399.21
656056.375,6221736,402.079
656058.4375,6221963,396.744
656054.75,6221896.5,399.6
656054.1875,6221913,399.6
656061.0625,6221987.5,396.28
656055.5,6221879,398.087
656055.5,6221725.5,402.103
