x,y,z
631452.375,6229731.5,486.991
631448.625,6228321.5,453.342
631458.4375,6228395.5,421.172
631449.125,6228373.5,440.639
631458.75,6228169,465.233
631465.25,6229795.5,520.927
631465.125,6228348,449.182
631473.4375,6229635.5,435.267
631475.1875,6229697.5,472.349
631485.3125,6228266,455.762
631482.375,6228397,421.242
631481.1875,6228377.5,435.086
631483.9375,6228314,453.359
631495.9375,6228218.5,458.452
631491.375,6229664,456.344
631494.5625,6229744,503.144
631497.25,6229632.5,435.002
631498.0625,6228353,450.473
631506.375,6228398,422.728
631508.625,6228378.5,436.846
631508.625,6228170.5,464.613
631515.25,6229795,530.781
631521.125,6228293,455.582
631515,6229700.5,486.097
631523.625,6228254.5,456.461
631521,6229629,434.003
631528.3125,6229657,458.732
631522.5625,6228332.5,454.509
631530.375,6228399,421.665
631527.125,6228366,444.665
631544.4375,6229744,511.098
631544.75,6229625.5,433.38
631556.1875,6229695.5,487.311
631554.3125,6228400.5,421.253
631552,6228381.5,436.102
631557.125,6228275,455.034
631551.0625,6228351.5,449.748
631558.4375,6228175,463.559
631554.125,6228316.5,454.246
631558.75,6228221,458.416
631565.0625,6229791.5,535.884
631568.5625,6229623,434.801
631572.5625,6229653,454.464
631580.1875,6229725.5,501.761
631578.3125,6228401.5,421.55
631571,6228370,442.767
631579.4375,6228343.5,452.575
631584.6875,6229757,520.042
631592.5625,6229622.5,434.766
631593.5,6228304,454.377
631591.6875,6228262,454.782
631596.6875,6229694,479.668
631602.25,6228403,421.903
631594.25,6228373,444.155
631608.25,6228179.5,462.652
631612.625,6228344,453.225
631619,6229737,508.479
631614.75,6229785.5,536.418
631616.5625,6229622.5,434.779
631621,6229654.5,455.066
631631.125,6229697.5,482.336
